,product_category_name_english,customer_state,avg_freight_cost,total_late_deliveries,combined_label
377,cool_stuff,SE,59.77,3.0,SE - cool_stuff
378,toys,RN,31.6,3.0,RN - toys
379,books_technical,RJ,18.3,3.0,RJ - books_technical
380,garden_tools,PI,35.57,3.0,PI - garden_tools
381,construction_tools_construction,RS,22.46,3.0,RS - construction_tools_construction
382,stationery,MS,19.31,3.0,MS - stationery
383,fashion_underwear_beach,SP,11.68,3.0,SP - fashion_underwear_beach
384,auto,RN,39.98,3.0,RN - auto
385,small_appliances,PR,22.4,3.0,PR - small_appliances
386,home_confort,BA,27.9,3.0,BA - home_confort
387,consoles_games,PA,37.58,3.0,PA - consoles_games
388,christmas_supplies,RJ,19.23,3.0,RJ - christmas_supplies
389,fashion_male_clothing,BA,20.27,3.0,BA - fashion_male_clothing
390,costruction_tools_garden,RJ,21.49,3.0,RJ - costruction_tools_garden
391,home_appliances_2,SP,38.51,3.0,SP - home_appliances_2
392,books_general_interest,RS,18.29,3.0,RS - books_general_interest
393,telephony,TO,29.87,3.0,TO - telephony
394,computers_accessories,MS,22.19,3.0,MS - computers_accessories
395,stationery,ES,20.77,3.0,ES - stationery
396,fashion_bags_accessories,CE,24.61,3.0,CE - fashion_bags_accessories
397,bed_bath_table,AL,40.44,3.0,AL - bed_bath_table
398,fashion_bags_accessories,RS,17.28,3.0,RS - fashion_bags_accessories
399,sports_leisure,PB,37.45,3.0,PB - sports_leisure
400,electronics,SE,31.46,3.0,SE - electronics
401,fashion_bags_accessories,GO,18.61,3.0,GO - fashion_bags_accessories
402,construction_tools_lights,MG,34.32,3.0,MG - construction_tools_lights
403,electronics,PB,38.18,3.0,PB - electronics
404,toys,GO,19.73,3.0,GO - toys
405,baby,GO,30.59,3.0,GO - baby
406,auto,PB,60.09,3.0,PB - auto
407,kitchen_dining_laundry_garden_furniture,RJ,52.48,3.0,RJ - kitchen_dining_laundry_garden_furniture
408,toys,PB,40.89,3.0,PB - toys
409,electronics,GO,17.51,3.0,GO - electronics
410,garden_tools,AL,35.73,3.0,AL - garden_tools
411,sports_leisure,TO,52.4,3.0,TO - sports_leisure
412,luggage_accessories,DF,26.08,3.0,DF - luggage_accessories
413,agro_industry_and_commerce,RJ,28.09,3.0,RJ - agro_industry_and_commerce
414,pet_shop,MT,37.68,3.0,MT - pet_shop
415,books_general_interest,BA,20.48,3.0,BA - books_general_interest
416,,PR,17.03,3.0,
417,air_conditioning,SP,19.32,3.0,SP - air_conditioning
418,luggage_accessories,AL,36.75,3.0,AL - luggage_accessories
419,stationery,PB,41.5,3.0,PB - stationery
420,consoles_games,GO,18.26,3.0,GO - consoles_games
421,telephony,PB,30.32,3.0,PB - telephony
422,consoles_games,ES,18.3,3.0,ES - consoles_games
423,food,PR,18.64,3.0,PR - food
424,market_place,RJ,17.43,3.0,RJ - market_place
425,toys,PI,32.96,3.0,PI - toys
426,telephony,RN,30.4,3.0,RN - telephony
427,auto,MT,31.73,3.0,MT - auto
428,musical_instruments,ES,20.34,3.0,ES - musical_instruments
429,toys,PA,29.38,3.0,PA - toys
430,garden_tools,TO,34.0,3.0,TO - garden_tools
431,perfumery,PI,34.88,3.0,PI - perfumery
432,audio,ES,16.18,3.0,ES - audio
433,fashion_bags_accessories,MS,17.61,2.0,MS - fashion_bags_accessories
434,christmas_supplies,PE,39.44,2.0,PE - christmas_supplies
435,cool_stuff,CE,38.51,2.0,CE - cool_stuff
436,home_appliances,ES,18.9,2.0,ES - home_appliances
437,stationery,MA,30.32,2.0,MA - stationery
438,baby,MS,22.4,2.0,MS - baby
439,costruction_tools_garden,SC,16.81,2.0,SC - costruction_tools_garden
440,food,ES,18.24,2.0,ES - food
441,consoles_games,AL,42.13,2.0,AL - consoles_games
442,tablets_printing_image,SP,9.46,2.0,SP - tablets_printing_image
443,books_general_interest,PR,16.91,2.0,PR - books_general_interest
444,bed_bath_table,SE,39.84,2.0,SE - bed_bath_table
445,costruction_tools_garden,MG,23.38,2.0,MG - costruction_tools_garden
446,luggage_accessories,ES,38.62,2.0,ES - luggage_accessories
447,fashion_shoes,AL,30.21,2.0,AL - fashion_shoes
448,fashion_sport,SP,13.06,2.0,SP - fashion_sport
449,construction_tools_construction,BA,34.57,2.0,BA - construction_tools_construction
450,furniture_mattress_and_upholstery,SP,39.92,2.0,SP - furniture_mattress_and_upholstery
451,pet_shop,CE,27.14,2.0,CE - pet_shop
452,furniture_bedroom,BA,90.04,2.0,BA - furniture_bedroom
453,baby,RN,30.17,2.0,RN - baby
454,office_furniture,TO,92.77,2.0,TO - office_furniture
455,fashio_female_clothing,PB,21.18,2.0,PB - fashio_female_clothing
456,market_place,MG,17.73,2.0,MG - market_place
457,luggage_accessories,PE,56.96,2.0,PE - luggage_accessories
458,sports_leisure,RN,38.31,2.0,RN - sports_leisure
459,electronics,RN,35.81,2.0,RN - electronics
460,stationery,MT,25.81,2.0,MT - stationery
461,office_furniture,ES,54.85,2.0,ES - office_furniture
462,construction_tools_lights,MS,29.47,2.0,MS - construction_tools_lights
463,perfumery,MS,16.84,2.0,MS - perfumery
464,garden_tools,RN,37.08,2.0,RN - garden_tools
465,musical_instruments,PR,26.79,2.0,PR - musical_instruments
466,telephony,AM,26.24,2.0,AM - telephony
467,home_appliances_2,MG,43.68,2.0,MG - home_appliances_2
468,cool_stuff,MT,26.5,2.0,MT - cool_stuff
469,tablets_printing_image,RJ,15.15,2.0,RJ - tablets_printing_image
470,office_furniture,MT,60.4,2.0,MT - office_furniture
471,audio,PR,17.95,2.0,PR - audio
472,luggage_accessories,SC,35.26,2.0,SC - luggage_accessories
473,computers_accessories,MT,30.05,2.0,MT - computers_accessories
474,tablets_printing_image,BA,18.7,2.0,BA - tablets_printing_image
475,furniture_living_room,PE,34.93,2.0,PE - furniture_living_room
476,baby,TO,35.48,2.0,TO - baby
477,sports_leisure,RO,39.37,2.0,RO - sports_leisure
478,housewares,MT,25.85,2.0,MT - housewares
479,construction_tools_safety,MG,19.54,2.0,MG - construction_tools_safety
480,sports_leisure,SE,35.82,2.0,SE - sports_leisure
481,party_supplies,RJ,15.5,2.0,RJ - party_supplies
482,fashion_shoes,BA,22.23,2.0,BA - fashion_shoes
483,art,RJ,20.35,2.0,RJ - art
484,,MT,17.39,2.0,
485,furniture_decor,TO,38.15,2.0,TO - furniture_decor
486,home_construction,GO,40.31,2.0,GO - home_construction
487,furniture_decor,AP,34.56,2.0,AP - furniture_decor
488,audio,SC,17.91,2.0,SC - audio
489,home_appliances,AL,45.83,2.0,AL - home_appliances
490,toys,TO,32.61,2.0,TO - toys
491,musical_instruments,SC,20.7,2.0,SC - musical_instruments
492,construction_tools_construction,MS,14.44,2.0,MS - construction_tools_construction
493,office_furniture,DF,46.67,2.0,DF - office_furniture
